pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
55.984999,-79.695,0.0,top,R10,,0402 (1005 Metric),0402 (1005 Metric),1kΩ(±1%),smt
56.03,-94.295,0.0,top,R11,,0402 (1005 Metric),0402 (1005 Metric),1kΩ(±1%),smt
56.03,-86.745,0.0,top,R12,,0402 (1005 Metric),0402 (1005 Metric),1kΩ(±1%),smt
56.0284,-101.793399,0.0,top,R13,,0402 (1005 Metric),0402 (1005 Metric),1kΩ(±1%),smt
71.2,-89.06,180.0,top,R14,,0402 (1005 Metric),0402 (1005 Metric),20kΩ(±1%),smt
71.2,-90.274999,180.0,top,R15,,0402 (1005 Metric),0402 (1005 Metric),2kΩ(±1%),smt
90.0,-90.0,-90.0,top,R16,,2512 (6332 Metric),2512 (6332 Metric),100mΩ(±0.1%),smt
100.8,-89.451672,0.0,top,R17,,0402 (1005 Metric),0402 (1005 Metric),10kΩ(±1%),smt
100.8,-90.66,0.0,top,R18,,0402 (1005 Metric),0402 (1005 Metric),10kΩ(±1%),smt
102.0,-87.3,180.0,top,R19,,0402 (1005 Metric),0402 (1005 Metric),30kΩ(±1%),smt
80.5,-88.575,-90.0,top,R2,,0402 (1005 Metric),0402 (1005 Metric),10kΩ(±1%),smt
102.05,-92.45,0.0,top,R20,,0402 (1005 Metric),0402 (1005 Metric),30kΩ(±1%),smt
109.365,-89.400003,180.0,top,R21,,0402 (1005 Metric),0402 (1005 Metric),12kΩ(±1%),smt
109.36,-90.61,0.0,top,R22,,0402 (1005 Metric),0402 (1005 Metric),30kΩ(±1%),smt
151.498172,-81.004307,180.0,top,R24,,0402 (1005 Metric),0402 (1005 Metric),100Ω(±1%),smt
141.0,-77.95,-90.0,top,R25,,0402 (1005 Metric),0402 (1005 Metric),47kΩ(±1%),smt
143.59,-77.948172,90.0,top,R26,,0402 (1005 Metric),0402 (1005 Metric),1MΩ(±1%),smt
146.0,-77.948172,-90.0,top,R27,,0402 (1005 Metric),0402 (1005 Metric),91kΩ(±1%),smt
149.104307,-71.448172,-90.0,top,R28,,0402 (1005 Metric),0402 (1005 Metric),82.5kΩ(±1%),smt
151.6,-71.45,90.0,top,R29,,0402 (1005 Metric),0402 (1005 Metric),1MΩ(±1%),smt
78.25,-88.575,90.0,top,R3,,0402 (1005 Metric),0402 (1005 Metric),976Ω(±1%),smt
154.0,-74.5,180.0,top,R30,,0402 (1005 Metric),0402 (1005 Metric),47kΩ(±1%),smt
60.08,-88.095,0.0,top,R4,,0402 (1005 Metric),0402 (1005 Metric),47kΩ(±1%),smt
62.13,-88.095,180.0,top,R5,,0402 (1005 Metric),0402 (1005 Metric),47kΩ(±1%),smt
60.005,-95.57,0.0,top,R6,,0402 (1005 Metric),0402 (1005 Metric),47kΩ(±1%),smt
62.055,-95.57,180.0,top,R7,,0402 (1005 Metric),0402 (1005 Metric),47kΩ(±1%),smt
60.005,-81.095,0.0,top,R8,,0402 (1005 Metric),0402 (1005 Metric),47kΩ(±1%),smt
62.059999,-81.095,180.0,top,R9,,0402 (1005 Metric),0402 (1005 Metric),47kΩ(±1%),smt
75.0,-80.0,0.0,top,TP1,,Nonstandard 1-pin,Keystone_5019,5019,smt
150.0,-88.5,0.0,top,TP10,,Nonstandard 1-pin,Keystone_5019,5019,smt
130.0,-98.1,0.0,top,TP11,,Nonstandard 1-pin,Keystone_5019,5019,smt
135.0,-74.9,0.0,top,TP12,,Nonstandard 1-pin,Keystone_5019,5019,smt
170.0,-98.0,0.0,top,TP13,,Nonstandard 1-pin,Keystone_5019,5019,smt
165.0,-75.1,0.0,top,TP14,,Nonstandard 1-pin,Keystone_5019,5019,smt
105.0,-80.0,0.0,top,TP15,,Nonstandard 1-pin,Keystone_5019,5019,smt
150.0,-97.5,0.0,top,TP16,,Nonstandard 1-pin,Keystone_5019,5019,smt
90.0,-100.0,0.0,top,TP2,,Nonstandard 1-pin,Keystone_5019,5019,smt
90.0,-80.0,0.0,top,TP3,,Nonstandard 1-pin,Keystone_5019,5019,smt
130.0,-106.25,0.0,top,TP5,,Nonstandard 1-pin,Keystone_5019,5019,smt
130.0,-135.0,0.0,top,TP6,,Nonstandard 1-pin,Keystone_5019,5019,smt
150.0,-106.25,0.0,top,TP7,,Nonstandard 1-pin,Keystone_5019,5019,smt
170.0,-106.5,0.0,top,TP8,,Nonstandard 1-pin,Keystone_5019,5019,smt
169.75,-135.0,0.0,top,TP9,,Nonstandard 1-pin,Keystone_5019,5019,smt
