pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
147.105,-68.0,180.0,top,R20,,0402 (1005 Metric),0402 (1005 Metric),47kΩ(±1%),smt
143.555,-68.0,180.0,top,R21,,0402 (1005 Metric),0402 (1005 Metric),47kΩ(±1%),smt
140.105,-68.0,180.0,top,R22,,0402 (1005 Metric),0402 (1005 Metric),47kΩ(±1%),smt
136.69,-68.0,180.0,top,R23,,0402 (1005 Metric),0402 (1005 Metric),47kΩ(±1%),smt
150.1,-73.0,0.0,top,R24,,0402 (1005 Metric),0402 (1005 Metric),47kΩ(±1%),smt
146.65,-73.0,0.0,top,R25,,0402 (1005 Metric),0402 (1005 Metric),47kΩ(±1%),smt
143.15,-73.0,0.0,top,R26,,0402 (1005 Metric),0402 (1005 Metric),47kΩ(±1%),smt
139.7,-73.0,0.0,top,R27,,0402 (1005 Metric),0402 (1005 Metric),47kΩ(±1%),smt
136.25,-73.0,0.0,top,R28,,0402 (1005 Metric),0402 (1005 Metric),47kΩ(±1%),smt
156.25,-104.0,0.0,top,R29,,0805 (2012 Metric),0805 (2012 Metric),10GΩ(±10%),smt
168.75,-85.6,0.0,top,R3,,0402 (1005 Metric),0402 (1005 Metric),10kΩ(±1%),smt
156.25,-101.5,0.0,top,R30,,0805 (2012 Metric),0805 (2012 Metric),1GΩ(±10%),smt
156.25,-99.0,0.0,top,R31,,0805 (2012 Metric),0805 (2012 Metric),100MΩ(±5%),smt
152.5,-95.25,90.0,top,R32,,0805 (2012 Metric),0805 (2012 Metric),10MΩ(±1%),smt
143.75,-102.75,180.0,top,R33,,0805 (2012 Metric),0805 (2012 Metric),1MΩ(±1%),smt
143.75,-100.25,180.0,top,R34,,0805 (2012 Metric),0805 (2012 Metric),100kΩ(±1%),smt
147.5,-95.25,90.0,top,R35,,0805 (2012 Metric),0805 (2012 Metric),10kΩ(±1%),smt
150.0,-95.25,90.0,top,R36,,0805 (2012 Metric),0805 (2012 Metric),1kΩ(±1%),smt
127.7,-100.0,180.0,top,R37,,0402 (1005 Metric),0402 (1005 Metric),100kΩ(±1%),smt
122.4,-100.0,0.0,top,R38,,0402 (1005 Metric),0402 (1005 Metric),66.5kΩ(±1%),smt
126.104999,-117.25,180.0,top,R39,,0402 (1005 Metric),0402 (1005 Metric),100kΩ(±1%),smt
168.96,-90.375,180.0,top,R4,,0402 (1005 Metric),0402 (1005 Metric),10kΩ(±1%),smt
126.9,-120.0,90.0,top,R40,,0402 (1005 Metric),0402 (1005 Metric),100kΩ(±1%),smt
123.1,-120.0,-90.0,top,R41,,0402 (1005 Metric),0402 (1005 Metric),100kΩ(±1%),smt
123.904999,-117.25,0.0,top,R42,,0402 (1005 Metric),0402 (1005 Metric),100kΩ(±1%),smt
168.96,-91.58,0.0,top,R5,,0402 (1005 Metric),0402 (1005 Metric),73.2kΩ(±1%),smt
166.3,-87.225,90.0,top,R6,,0402 (1005 Metric),0402 (1005 Metric),73.2kΩ(±1%),smt
171.35,-85.6,180.0,top,R7,,0402 (1005 Metric),0402 (1005 Metric),10kΩ(±1%),smt
170.98,-90.375,0.0,top,R8,,0402 (1005 Metric),0402 (1005 Metric),10kΩ(±1%),smt
170.98,-91.58,180.0,top,R9,,0402 (1005 Metric),0402 (1005 Metric),73.2kΩ(±1%),smt
160.0,-72.5,90.0,top,TP1,,Nonstandard 1-pin,Keystone_5019,5019,smt
150.0,-87.5,0.0,top,TP10,,Nonstandard 1-pin,Keystone_5019,5019,smt
145.25,-87.5,180.0,top,TP11,,Nonstandard 1-pin,Keystone_5019,5019,smt
140.0,-87.5,0.0,top,TP12,,Nonstandard 1-pin,Keystone_5019,5019,smt
157.5,-91.75,0.0,top,TP13,,Nonstandard 1-pin,Keystone_5019,5019,smt
125.05,-90.0,180.0,top,TP14,,Nonstandard 1-pin,Keystone_5019,5019,smt
125.0,-110.1,0.0,top,TP15,,Nonstandard 1-pin,Keystone_5019,5019,smt
125.0,-130.0,0.0,top,TP16,,Nonstandard 1-pin,Keystone_5019,5019,smt
125.0,-80.0,0.0,top,TP17,,Nonstandard 1-pin,Keystone_5019,5019,smt
180.0,-120.0,90.0,top,TP18,,Nonstandard 1-pin,Keystone_5019,5019,smt
180.0,-80.0,90.0,top,TP2,,Nonstandard 1-pin,Keystone_5019,5019,smt
180.0,-72.5,-90.0,top,TP3,,Nonstandard 1-pin,Keystone_5019,5019,smt
157.5,-110.0,0.0,top,TP4,,Nonstandard 1-pin,Keystone_5019,5019,smt
152.5,-110.0,0.0,top,TP5,,Nonstandard 1-pin,Keystone_5019,5019,smt
147.5,-110.0,0.0,top,TP6,,Nonstandard 1-pin,Keystone_5019,5019,smt
142.5,-110.0,0.0,top,TP7,,Nonstandard 1-pin,Keystone_5019,5019,smt
160.0,-87.5,180.0,top,TP8,,Nonstandard 1-pin,Keystone_5019,5019,smt
155.0,-87.5,180.0,top,TP9,,Nonstandard 1-pin,Keystone_5019,5019,smt
